id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-3761,화성시청 민원동,"경기도 화성시 만세구 남양읍 시청로 159 (남양리, 화성시청)",37.19749559,126.8302567,true,true,11시간,14,14,14,false,false,2024-01-29
pd-3762,화성시청 의회동,"경기도 화성시 만세구 남양읍 시청로 159 (남양리, 화성시청)",37.19749559,126.8302567,true,true,11시간,9,9,6,false,false,2024-01-29
pd-3763,모두누림센터 1층,"경기도 화성시 만세구 남양읍 시청로 155 (남양리, 화성서부복합문화센터)",37.19890363,126.8286692,true,true,11시간,3,4,8,false,false,2024-01-29
pd-3764,남양농협하나로마트,"경기도 화성시 만세구 남양읍 남양시장로 58-6 (남양리, 남양농협하나로마트)",37.20853841,126.8152833,true,true,11시간,1,2,2,false,false,2024-01-29
pd-3765,영동빌딩,경기도 화성시 만세구 남양읍 시청로 123 (남양리),37.20016494,126.8268249,false,true,11시간,2,2,2,false,false,2024-01-29
pd-3766,남양파출소,"경기도 화성시 만세구 남양읍 남양시장로 47 (남양리, 남양지구대)",37.20908224,126.8147002,false,true,11시간,0,0,0,false,false,2024-01-29
pd-3767,대박주유소,경기도 화성시 만세구 남양읍 남양성지로 17 (남양리),37.2056205,126.8055619,false,true,11시간,1,1,1,false,false,2024-01-29
pd-3768,선주빌딩,경기도 화성시 만세구 남양읍 남양성지로 199 (남양리),37.2123552,126.823955,false,true,11시간,2,2,3,false,false,2024-01-29
pd-3769,남양보건지소,"경기도 화성시 만세구 남양읍 남양시장로 25-2 (남양리, 남양보건지소)",37.20875619,126.8118326,false,true,11시간,2,2,3,false,false,2024-01-29
pd-3770,남양119안전센터-1,"경기도 화성시 만세구 남양읍 남양시장로 48 (남양리, 남양119안전센타)",37.20872153,126.8146721,false,true,11시간,2,1,1,false,false,2024-01-29
pd-3771,남양우체국,"경기도 화성시 만세구 남양읍 남양시장로 53 (남양리, 경기남양우체국)",37.20908866,126.8153423,true,true,11시간,1,2,1,false,false,2024-01-29
pd-3772,기배동주민센터 5층,"경기도 화성시 효행구 기안남로 62 (기안동, 기배동주민센터)",37.22408142,126.9841974,false,true,11시간,2,2,4,false,false,2024-01-29
pd-3773,기배동주민센터 4층,"경기도 화성시 효행구 기안남로 62 (기안동, 기배동주민센터)",37.22408142,126.9841974,false,true,11시간,2,2,4,false,false,2024-01-29
pd-3774,기배동주민센터 3층,"경기도 화성시 효행구 기안남로 62 (기안동, 기배동주민센터)",37.22408142,126.9841974,false,true,11시간,2,2,4,false,false,2024-01-29
pd-3775,신남직영주유소,경기도 화성시 만세구 남양읍 남양로 581 (신남리),37.19138085,126.8215206,false,true,11시간,1,1,2,false,false,2024-01-29
pd-3776,안석보건지소,"경기도 화성시 만세구 남양읍 고향의봄길216번길 101 (안석리, 남부진료소)",37.17707274,126.8189161,false,true,11시간,0,0,0,false,false,2024-01-29
pd-3777,(주)봉선대오일,경기도 화성시 만세구 남양읍 남양로 1671-36 (신외리),37.28091702,126.804036,false,true,11시간,1,1,1,false,false,2024-01-29
pd-3778,한울유스센터,경기도 화성시 만세구 남양읍 고향의봄길 99-32 (활초리),37.18512921,126.8363148,true,true,11시간,3,3,3,false,false,2024-01-29
pd-3779,덕우주유소,경기도 화성시 만세구 팔탄면 온천로 127 (덕우리),37.13532767,126.8634586,false,true,11시간,1,2,3,false,false,2024-01-29
pd-3780,사랑밭재활원,"경기도 화성시 동탄구 10용사로 661-69 (반송동, 사랑밭재활원)",37.1898938,127.0826331,false,true,24시간,2,2,4,false,false,2024-01-29
pd-3781,홈플러스 병점,"경기도 화성시 병점구 경기대로 985 (병점동, 홈플러스 병점점)",37.20374056,127.0367514,false,true,24시간,3,5,8,false,false,2024-01-29
